Topic,Sub-topic,Question,Explanation,Image
Electrochemistry,Nernst Equation,State the Nernst equation for an electrode/cell.,"SHORT ANSWER: For a reduction M^n+ + ne- -> M: E = E degree - (RT/nF) ln([M]/[M^n+]); at 298 K, E = E degree - (0.0591/n) log([products]/[reactants]).

LONG ANSWER: The Nernst equation gives the electrode/cell potential at non-standard concentrations. At 298 K, substituting R, F and converting to log base 10 gives the factor 0.0591/n. For a full cell, E_cell = E degree_cell - (0.0591/n) log Q, where Q is the reaction quotient. It shows how potential changes with concentration.

NEET FOCUS: At 298 K the factor is 0.0591/n (volts). E_cell decreases as product-ion concentration rises (Q increases). At equilibrium E_cell = 0.",
Electrochemistry,EMF Gibbs,Relate the standard cell potential to the Gibbs free energy change.,"SHORT ANSWER: delta G degree = -nF E degree_cell, where n = number of electrons transferred and F = Faraday constant (96500 C/mol). A positive E degree_cell gives a negative delta G degree (spontaneous reaction).

LONG ANSWER: The maximum electrical work obtainable from a cell equals the decrease in Gibbs free energy: w_max = -delta G = nFE_cell. Therefore delta G degree = -nF E degree_cell. This links the thermodynamic spontaneity (sign of delta G) directly to the measurable cell potential. E degree_cell can also give the equilibrium constant via delta G degree = -RT ln K.

NEET FOCUS: delta G degree = -nFE degree_cell. Positive E_cell -> negative delta G -> spontaneous. Also E degree_cell = (0.0591/n) log K at 298 K.",
Electrochemistry,Conductance,"Define conductance, conductivity and molar conductivity.","SHORT ANSWER: Conductance (G = 1/R) is the ease of current flow (unit: siemens). Conductivity (kappa) is conductance of a 1 m cube of solution (unit: S/m). Molar conductivity (Lambda_m = kappa/c) is the conductance of all ions from 1 mole of electrolyte.

LONG ANSWER: Conductance is the reciprocal of resistance. Conductivity kappa = G x (l/A), where l/A is the cell constant. Molar conductivity Lambda_m = kappa x 1000/c (c in mol/L) accounts for the amount of electrolyte. On dilution, kappa decreases (fewer ions per volume) but Lambda_m increases (ions move more freely).

NEET FOCUS: On dilution: conductivity (kappa) decreases, molar conductivity (Lambda_m) increases. Distinguish the two opposite trends - a classic trap.",
Electrochemistry,Kohlrausch,State Kohlrausch's law of independent migration of ions.,"SHORT ANSWER: At infinite dilution, the molar conductivity of an electrolyte is the sum of the independent contributions of its cation and anion: Lambda degree_m = lambda degree_+ + lambda degree_-.

LONG ANSWER: Each ion migrates independently of the others at infinite dilution and contributes a fixed amount to the total molar conductivity, regardless of the partner ion. This law allows calculation of limiting molar conductivities of weak electrolytes (which cannot be measured directly) and the degree of dissociation alpha = Lambda_m / Lambda degree_m.

NEET FOCUS: Lambda degree_m = nu+ lambda degree+ + nu- lambda degree-. Used to find Lambda degree_m of weak electrolytes (e.g. acetic acid) and degree of dissociation.",
Electrochemistry,Faraday Laws,State Faraday's two laws of electrolysis.,"SHORT ANSWER: First law: the mass deposited/liberated at an electrode is proportional to the charge passed (m = Zit, where Z = electrochemical equivalent). Second law: for the same charge, the masses of different substances deposited are proportional to their equivalent masses.

LONG ANSWER: First law: m proportional to Q = I x t. Second law: when the same quantity of electricity passes through different electrolytes, the amounts deposited are in the ratio of their chemical equivalents (equivalent mass = molar mass/valency). One faraday (96500 C) deposits one gram-equivalent of any substance.

NEET FOCUS: 1 Faraday = 96500 C deposits 1 gram-equivalent. Moles deposited = (I x t)/(n x F), where n = electrons per ion.",
Electrochemistry,Electrolytic Cell,Distinguish a galvanic cell from an electrolytic cell.,"SHORT ANSWER: A galvanic cell converts chemical energy to electrical energy (spontaneous, E_cell positive). An electrolytic cell converts electrical energy to chemical energy (non-spontaneous, driven by an external source).

LONG ANSWER: In a galvanic cell the anode is negative and cathode positive; the redox reaction is spontaneous. In an electrolytic cell an external battery forces a non-spontaneous reaction; the anode is positive and cathode negative. Electrolysis is used in electroplating, metal refining and extraction.

NEET FOCUS: Galvanic - spontaneous, anode (-). Electrolytic - non-spontaneous, anode (+). In BOTH, oxidation is at the anode and reduction at the cathode.",
Electrochemistry,Batteries,Distinguish primary and secondary batteries with examples.,"SHORT ANSWER: Primary batteries are non-rechargeable (irreversible reaction), e.g. dry cell (Leclanche), mercury cell. Secondary batteries are rechargeable (reversible reaction), e.g. lead-acid battery, nickel-cadmium and lithium-ion cells.

LONG ANSWER: In a primary cell the electrode reaction occurs only once and the cell is discarded when exhausted. In a secondary cell the reaction can be reversed by passing current (charging), so it can be reused. The lead-storage battery (used in vehicles) uses Pb and PbO2 electrodes in H2SO4.

NEET FOCUS: Dry cell, mercury cell = primary (non-rechargeable). Lead-acid, Ni-Cd, Li-ion = secondary (rechargeable). Lead-acid uses Pb/PbO2 in H2SO4.",
Electrochemistry,Fuel Cell,What is a fuel cell? Give an example.,"SHORT ANSWER: A fuel cell is a galvanic cell that directly converts the chemical energy of a continuously supplied fuel (e.g. H2) and oxidant (O2) into electrical energy. Example: the hydrogen-oxygen fuel cell.

LONG ANSWER: Unlike ordinary batteries, fuel cells are fed fuel and oxidant from outside and run as long as supply continues. In the H2-O2 fuel cell, H2 is oxidised at the anode and O2 reduced at the cathode (in KOH), producing water and electricity with high efficiency and no pollution. Used in spacecraft (Apollo).

NEET FOCUS: H2-O2 fuel cell - product is water, pollution-free, high efficiency. Used in the Apollo space programme.",
Electrochemistry,Corrosion,What is corrosion and how can it be prevented?,"SHORT ANSWER: Corrosion is the slow electrochemical oxidation of a metal by its environment (e.g. rusting of iron: hydrated iron(III) oxide). Prevented by barrier coatings (paint, grease), galvanisation (zinc coating), and cathodic (sacrificial) protection.

LONG ANSWER: During rusting, parts of the iron surface act as anode (Fe -> Fe^2+) and others as cathode (O2 reduction), with water as electrolyte, forming rust (Fe2O3.xH2O). Prevention methods stop the electrochemical cell: coating excludes air/water; galvanising and sacrificial anodes (Mg, Zn) corrode preferentially, protecting the iron.

NEET FOCUS: Rust = hydrated ferric oxide (Fe2O3.xH2O). Sacrificial protection uses a more reactive metal (Zn, Mg) as the anode to protect iron.",
Electrochemistry,EMF Numerical,"Calculate the standard EMF of a cell: Mg | Mg^2+ || Ag+ | Ag, given E degree(Mg^2+/Mg) = -2.37 V and E degree(Ag+/Ag) = +0.80 V.","SHORT ANSWER: E degree_cell = E degree_cathode - E degree_anode = 0.80 - (-2.37) = +3.17 V.

LONG ANSWER: Silver has the higher (more positive) reduction potential, so it is the cathode (reduction: Ag+ + e- -> Ag) and magnesium is the anode (oxidation: Mg -> Mg^2+ + 2e-). E degree_cell = E degree_cathode - E degree_anode = 0.80 - (-2.37) = 3.17 V. The positive value confirms a spontaneous cell.

NEET FOCUS: Identify the cathode as the electrode with the higher reduction potential, then E_cell = E_cathode - E_anode. Don't multiply potentials by stoichiometric coefficients - potential is intensive.",
Electrochemistry,Intensive Potential,Why is electrode potential not multiplied by the number of moles when balancing?,"SHORT ANSWER: Because electrode potential is an intensive property - it depends on the nature of the electrode and conditions, not on the amount of substance or how the equation is multiplied.

LONG ANSWER: When a half-reaction is multiplied by a factor to balance electrons, the standard potential E degree stays the same, even though delta G (an extensive quantity) scales with n. This is because E degree reflects the energy per unit charge, not the total energy. So in E degree_cell = E degree_cathode - E degree_anode, the tabulated values are used directly.

NEET FOCUS: E degree is intensive (per charge) - never multiply it by stoichiometric coefficients. delta G = -nFE degree is extensive (scales with n).",
Electrochemistry,Concentration Cell,What is a concentration cell?,"SHORT ANSWER: A concentration cell is a galvanic cell in which both electrodes are of the same material but the electrolytes differ in concentration; EMF arises solely from the concentration difference. E degree_cell = 0.

LONG ANSWER: Since both half-cells are chemically identical, the standard cell potential is zero, and the EMF depends only on the ratio of concentrations via the Nernst equation: E_cell = (0.0591/n) log(C2/C1). Electrons flow so as to equalise the two concentrations; the cell runs until they are equal (E = 0).

NEET FOCUS: In a concentration cell E degree_cell = 0 and E_cell = (0.0591/n) log(C_cathode/C_anode). Current flows to equalise concentrations.",
Electrochemistry,Strong Weak Electrolyte,Differentiate strong and weak electrolytes by their conductance behaviour on dilution.,"SHORT ANSWER: Strong electrolytes are almost fully ionised; their molar conductivity increases only slightly on dilution and can be extrapolated to Lambda degree_m. Weak electrolytes ionise partially; their molar conductivity increases sharply on dilution and cannot be reliably extrapolated.

LONG ANSWER: For strong electrolytes (NaCl, KCl), Lambda_m rises gradually due to reduced inter-ionic attraction, following Debye-Huckel-Onsager behaviour, so a plot vs sqrt(c) is linear. For weak electrolytes (acetic acid), dilution greatly increases the degree of dissociation, causing a steep, non-linear rise; their Lambda degree_m is found using Kohlrausch's law.

NEET FOCUS: Strong electrolyte - small linear increase in Lambda_m (extrapolate vs sqrt c). Weak electrolyte - steep rise; Lambda degree_m via Kohlrausch's law. Degree of dissociation alpha = Lambda_m/Lambda degree_m.",
Haloalkanes & Haloarenes,Classification,How are haloalkanes and haloarenes classified?,"SHORT ANSWER: They are alkyl/aryl halides classified by (i) number of halogens (mono-, di-, poly-), (ii) hybridisation of the C bearing the halogen, and (iii) for monohalides, as primary (1 degree), secondary (2 degree) or tertiary (3 degree).

LONG ANSWER: Haloalkanes (R-X) have halogen on an sp3 carbon; haloarenes (Ar-X) have halogen on an sp2 carbon of an aromatic ring. Further subtypes include allylic (X on carbon next to C=C), benzylic (X on carbon attached to ring), and vinylic/aryl (X on sp2 carbon). The 1 degree/2 degree/3 degree classification depends on how many carbons are attached to the carbon bearing the halogen.

NEET FOCUS: Allylic/benzylic halides are very reactive (stable carbocation); vinyl/aryl halides are unreactive (partial double-bond character of C-X). Know these reactivity orders.",
Haloalkanes & Haloarenes,Nomenclature,State the IUPAC naming rules for haloalkanes.,"SHORT ANSWER: Name the halogen as a substituent prefix (fluoro/chloro/bromo/iodo) with the lowest locant on the longest carbon chain; e.g. CH3CHClCH3 = 2-chloropropane.

LONG ANSWER: Choose the longest chain containing the maximum substituents, number it to give the halogen the lowest set of locants, and list substituents alphabetically. Common names use 'alkyl halide' (e.g. isopropyl chloride). Dihalides on the same carbon are 'gem' (geminal); on adjacent carbons are 'vic' (vicinal).

NEET FOCUS: gem-dihalide = both halogens on the SAME carbon; vic-dihalide = on ADJACENT carbons. CHCl3 = trichloromethane (chloroform).",
Haloalkanes & Haloarenes,C-X Bond,"Why is the C-X bond polar, and how does bond strength vary down the halogens?","SHORT ANSWER: The C-X bond is polar because the halogen is more electronegative than carbon, giving carbon a partial positive charge. C-X bond strength decreases from C-F to C-I as the bond length increases.

LONG ANSWER: The electronegativity difference makes the carbon electrophilic (delta+), so it is attacked by nucleophiles. As we go F -> Cl -> Br -> I, the halogen's size increases, the bond becomes longer and weaker, so C-I breaks most easily and C-F is the strongest/hardest to break. Reactivity in substitution: R-I > R-Br > R-Cl > R-F.

NEET FOCUS: Bond strength C-F > C-Cl > C-Br > C-I; reactivity in nucleophilic substitution is the reverse: R-I > R-Br > R-Cl. The carbon is electrophilic (delta+).",
Haloalkanes & Haloarenes,Preparation,List the main methods of preparing haloalkanes.,"SHORT ANSWER: From alcohols (with HX, PCl5, PCl3 or SOCl2), from alkanes by free-radical halogenation, from alkenes by addition of HX or halogens, and by halogen exchange (Finkelstein and Swarts reactions).

LONG ANSWER: (1) Alcohols + HX/PX3/PCl5/SOCl2 -> alkyl halides (SOCl2 preferred, gives pure product + gaseous by-products). (2) Alkanes undergo free-radical substitution with X2/UV (mixtures). (3) Alkenes add HX (Markovnikov) or X2. (4) Finkelstein: R-Cl/Br + NaI (in acetone) -> R-I. (5) Swarts: R-X + AgF/Hg2F2 -> R-F.

NEET FOCUS: Finkelstein -> alkyl iodides (NaI/acetone). Swarts -> alkyl fluorides (metal fluoride). SOCl2 gives the purest alkyl chloride from an alcohol.",
Haloalkanes & Haloarenes,SN1 SN2,Distinguish between SN1 and SN2 nucleophilic substitution mechanisms.,"SHORT ANSWER: SN2 is a one-step, bimolecular reaction (rate depends on substrate and nucleophile) with inversion of configuration, favoured by 1 degree halides. SN1 is a two-step, unimolecular reaction (rate depends on substrate only) via a carbocation, giving racemisation, favoured by 3 degree halides.

LONG ANSWER: In SN2, the nucleophile attacks the carbon from the side opposite the leaving group in a single concerted step, inverting the configuration (Walden inversion); rate = k[substrate][Nu]. In SN1, the C-X bond first breaks to form a carbocation (slow step), then the nucleophile attacks; rate = k[substrate]. SN1 gives a racemic mixture because the planar carbocation can be attacked from either face. Reactivity: SN2 favours 1 degree > 2 degree > 3 degree; SN1 favours 3 degree > 2 degree > 1 degree.

NEET FOCUS: SN2 -> 1 degree halide, inversion, one step, strong nucleophile, polar aprotic solvent. SN1 -> 3 degree halide, racemisation, carbocation, polar protic solvent.",
Haloalkanes & Haloarenes,Carbocation Stability,Give the order of carbocation stability and its relevance to SN1.,"SHORT ANSWER: Carbocation stability: 3 degree > 2 degree > 1 degree > methyl (due to +I and hyperconjugation). More stable carbocations form faster, so 3 degree halides react fastest by the SN1 mechanism.

LONG ANSWER: Alkyl groups release electrons (inductive effect) and provide hyperconjugation, stabilising the positive charge - hence tertiary carbocations are most stable. Since the rate-determining step of SN1 is carbocation formation, substrates that give stable carbocations (3 degree, allylic, benzylic) undergo SN1 readily.

NEET FOCUS: Stability 3 degree > 2 degree > 1 degree > CH3+; allylic and benzylic cations are extra stable (resonance). This governs SN1 reactivity.",
Haloalkanes & Haloarenes,Haloarene Inertness,Why are haloarenes (aryl halides) less reactive than haloalkanes toward nucleophilic substitution?,"SHORT ANSWER: Because of (i) resonance giving the C-X bond partial double-bond character (shorter, stronger), (ii) the sp2 carbon holding electrons more tightly, and (iii) repulsion between the nucleophile and the electron-rich ring.

LONG ANSWER: In haloarenes the lone pair on the halogen delocalises into the ring, giving the C-X bond double-bond character that makes it difficult to break. The carbon is sp2 hybridised (more electronegative, holds the bonding pair tightly), and the aromatic pi-cloud repels approaching nucleophiles. These factors make aryl halides very unreactive in ordinary nucleophilic substitution.

NEET FOCUS: Aryl halide inertness = resonance (partial C=X) + sp2 carbon + ring-nucleophile repulsion. Reactivity needs strong conditions or electron-withdrawing groups (e.g. -NO2) at ortho/para positions.",
Haloalkanes & Haloarenes,Polyhalogen,Describe important polyhalogen compounds and their uses.,"SHORT ANSWER: Polyhalogen compounds contain more than one halogen. Examples: dichloromethane (solvent), chloroform (CHCl3 - earlier anaesthetic), iodoform (CHI3 - antiseptic), carbon tetrachloride (CCl4 - solvent/fire extinguisher), and freons (refrigerants).

LONG ANSWER: CH2Cl2 is a paint remover/solvent. CHCl3 was used as an anaesthetic but is now mainly a solvent; it is stored in dark bottles because it oxidises in air/light to poisonous phosgene (COCl2). CCl4 is used as a solvent and was used in fire extinguishers. Freons (CFCs) were refrigerants but are now restricted as they deplete the ozone layer. DDT was a famous insecticide.

NEET FOCUS: Chloroform forms poisonous phosgene (COCl2) on exposure to air & light - stored in dark bottles with a little ethanol. Freons (CFCs) deplete ozone; DDT is a persistent insecticide.",
Haloalkanes & Haloarenes,Elimination,What is the dehydrohalogenation (elimination) reaction of haloalkanes?,"SHORT ANSWER: Heating a haloalkane with alcoholic KOH removes a molecule of HX (beta-elimination) to form an alkene; this is dehydrohalogenation, following Saytzeff's rule.

LONG ANSWER: The base removes a hydrogen from the beta-carbon and the halogen leaves, forming a carbon-carbon double bond. By Saytzeff's (Zaitsev's) rule, the more substituted (more stable) alkene is the major product. Note: alcoholic KOH gives elimination (alkene) whereas aqueous KOH gives substitution (alcohol).

NEET FOCUS: Alcoholic KOH -> elimination (alkene); aqueous KOH -> substitution (alcohol). Saytzeff rule: the more substituted alkene predominates.",
"Alcohols, Phenols & Ethers",Classification,How are alcohols classified?,"SHORT ANSWER: Alcohols are classified by the number of -OH groups (mono-, di-, tri-hydric) and by the carbon bearing -OH as primary (1 degree), secondary (2 degree) or tertiary (3 degree).

LONG ANSWER: A monohydric alcohol has one -OH (e.g. ethanol); a dihydric (glycol) has two; a trihydric (glycerol) has three. In a 1 degree alcohol the -OH carbon is attached to one other carbon, in 2 degree to two, and in 3 degree to three. Alcohols can also be aliphatic or aromatic (e.g. benzyl alcohol, where -OH is on a side chain, not on the ring like phenol).

NEET FOCUS: 1 degree/2 degree/3 degree depends on the C bearing -OH. Note: benzyl alcohol (-OH on side chain) is an alcohol; phenol (-OH on ring) is NOT.",
"Alcohols, Phenols & Ethers",Functional Groups,"Identify the functional groups and general formulae of alcohols, phenols and ethers.","SHORT ANSWER: Alcohol: R-OH (hydroxyl on aliphatic/sp3 carbon). Phenol: Ar-OH (hydroxyl directly on an aromatic ring). Ether: R-O-R' (an oxygen linking two carbons).

LONG ANSWER: Alcohols and phenols both contain the hydroxyl (-OH) group, but in phenols it is attached directly to the aromatic ring carbon (sp2), which makes phenol acidic. Ethers have the C-O-C linkage and may be simple (symmetrical, both R the same) or mixed (different R groups). All three involve oxygen but show distinct chemistry.

NEET FOCUS: Phenol = -OH on aromatic ring (sp2 C). Alcohol = -OH on sp3 C. Ether = C-O-C. Phenol is far more acidic than alcohol due to resonance.",
